                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4539,                 3.3807,                 1.6101,                0.59778,                0.19586,                0.16868,                0.10487,                 1.4764,                 3.3642,                 1.8239,             0.00017437,             0.00017437,             0.00017437
                      2,                 1.4702,                 2.5669,                 1.6084,                 0.5911,                0.19006,                0.15859,                0.08991,                 1.5744,                 3.2945,                 1.9462,             0.00033239,             0.00033239,             0.00033239
                      3,                 1.4464,                 2.3388,                  1.577,                0.70691,                0.22714,                0.24871,                0.14783,                 1.5353,                 3.2776,                 1.8513,             0.00047306,             0.00047306,             0.00047306
                      4,                 1.4411,                 2.1791,                 1.5691,                0.75885,                0.21048,                 0.2371,                0.14511,                 1.5067,                 2.8949,                 1.8336,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.4263,                 2.0138,                 1.5361,                 0.7064,                0.25068,                 0.2751,                0.17213,                 1.5034,                 2.5579,                 1.7975,             0.00042185,             0.00042185,             0.00042185
                      6,                 1.3821,                 1.9318,                 1.5095,                 0.6098,                0.29348,                 0.2974,                0.18433,                 1.4825,                 2.3899,                 1.7701,             0.00039581,             0.00039581,             0.00039581
                      7,                 1.3531,                 1.8016,                 1.4889,                0.53715,                0.33669,                0.34999,                0.22025,                 1.4958,                 2.2644,                 1.7653,             0.00036978,             0.00036978,             0.00036978
                      8,                 1.3303,                 1.7166,                  1.463,                0.67452,                0.34859,                0.38013,                0.24141,                 1.4326,                 2.1907,                 1.7215,             0.00034374,             0.00034374,             0.00034374
                      9,                 1.2992,                 1.6497,                 1.4496,                0.73705,                0.31965,                0.38819,                 0.2397,                 1.4573,                 1.9744,                 1.7171,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.2994,                 1.5644,                 1.4419,                0.68654,                0.36832,                0.40445,                0.25809,                 1.3833,                 1.8386,                 1.6747,             0.00029167,             0.00029167,             0.00029167
                     11,                 1.2571,                 1.4249,                 1.4593,                0.64428,                0.40264,                0.47953,                0.30801,                 1.3277,                 1.6474,                 1.6356,             0.00026563,             0.00026563,             0.00026563
                     12,                 1.2305,                 1.3234,                 1.4446,                0.67634,                0.43077,                0.45861,                0.30131,                 1.3197,                 1.7079,                 1.6081,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.1956,                 1.2394,                 1.4148,                0.67746,                0.43503,                0.51716,                0.32867,                 1.3312,                 1.5401,                 1.6222,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.1725,                 1.1852,                 1.3952,                 0.6941,                0.44511,                0.49919,                0.32514,                  1.321,                  1.469,                 1.6153,             0.00018752,             0.00018752,             0.00018752
                     15,                   1.16,                 1.1253,                 1.3839,                0.58011,                0.52563,                0.54119,                 0.3551,                 1.2964,                   1.39,                 1.5772,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.1338,                 1.0691,                 1.3623,                0.67178,                 0.4694,                0.52248,                0.33771,                 1.3271,                 1.4437,                 1.6085,             0.00013544,             0.00013544,             0.00013544
                     17,                 1.1132,                 1.0292,                 1.3468,                0.78201,                0.48031,                0.54184,                 0.3561,                 1.2818,                 1.3506,                 1.5582,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.0992,                 1.0048,                 1.3384,                0.72088,                0.45168,                0.52223,                0.34285,                 1.2634,                 1.3393,                 1.5484,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.0786,                0.95812,                 1.3277,                0.67696,                0.49838,                 0.5571,                0.36346,                 1.2761,                 1.2868,                  1.556,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                  1.066,                0.93853,                 1.3106,                0.65883,                0.51343,                0.55316,                0.36381,                  1.262,                 1.2759,                 1.5416,             3.1297e-05,             3.1297e-05,             3.1297e-05
