                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4571,                  3.362,                 1.6182,                0.56721,                0.20736,                0.17343,                0.10636,                 1.4998,                 2.3994,                 1.8413,             0.00017437,             0.00017437,             0.00017437
                      2,                 1.4404,                 2.4946,                 1.5737,                0.61014,                0.20972,                0.19555,                0.11262,                  1.617,                 2.7644,                 1.9013,             0.00033239,             0.00033239,             0.00033239
                      3,                 1.4536,                 2.2818,                 1.5671,                0.66223,                0.25836,                0.28331,                0.17572,                  1.596,                 2.1327,                 1.8947,             0.00047306,             0.00047306,             0.00047306
                      4,                 1.4273,                 2.1334,                  1.558,                0.63265,                 0.2617,                0.25885,                0.15683,                 1.5763,                 2.3354,                 1.9068,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.3838,                 1.9623,                 1.5207,                0.66954,                0.27955,                0.30379,                0.18446,                 1.5987,                 2.1239,                 1.9315,             0.00042185,             0.00042185,             0.00042185
                      6,                 1.3515,                  1.826,                 1.4961,                0.73114,                0.32894,                0.35828,                0.21523,                 1.5677,                 1.9859,                 1.8828,             0.00039581,             0.00039581,             0.00039581
                      7,                 1.3472,                 1.7325,                 1.4841,                0.74431,                0.34481,                0.38116,                0.23796,                  1.471,                 1.7214,                  1.734,             0.00036978,             0.00036978,             0.00036978
                      8,                 1.3006,                 1.6604,                 1.4657,                0.69465,                 0.3255,                0.39417,                0.25004,                 1.4169,                 1.7669,                 1.6806,             0.00034374,             0.00034374,             0.00034374
                      9,                 1.2934,                 1.5548,                 1.4493,                0.68933,                 0.3517,                0.38246,                0.24087,                 1.4992,                 1.7249,                 1.7932,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.2831,                 1.5105,                 1.4429,                0.80321,                0.35686,                0.42966,                0.27294,                 1.3778,                 1.5362,                 1.6438,             0.00029167,             0.00029167,             0.00029167
                     11,                 1.2465,                 1.3702,                 1.4467,                0.53947,                0.35655,                0.39098,                0.25178,                 1.4353,                 1.6765,                 1.7397,             0.00026563,             0.00026563,             0.00026563
                     12,                  1.222,                 1.3073,                 1.4432,                0.70458,                  0.405,                0.45556,                0.29474,                 1.3426,                 1.4649,                  1.629,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.1949,                 1.2298,                 1.4145,                0.53385,                 0.4882,                 0.4864,                0.31861,                 1.3324,                 1.4785,                  1.612,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.1835,                 1.1695,                 1.3998,                  0.649,                0.42828,                0.49994,                0.32759,                 1.3244,                 1.4207,                 1.6317,             0.00018752,             0.00018752,             0.00018752
                     15,                 1.1523,                 1.0972,                 1.3809,                0.69501,                 0.4486,                0.52137,                0.33605,                 1.3034,                 1.3115,                  1.586,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.1288,                 1.0555,                 1.3589,                0.60901,                0.50003,                0.51497,                0.33574,                 1.2608,                 1.3077,                 1.5572,             0.00013544,             0.00013544,             0.00013544
                     17,                   1.12,                 1.0076,                 1.3447,                0.55438,                0.57443,                0.57367,                0.37904,                 1.2409,                 1.1763,                 1.5313,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.0855,                0.96189,                 1.3255,                0.53668,                0.54988,                0.57184,                0.37309,                 1.2474,                 1.1842,                 1.5377,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.0683,                 0.9368,                 1.3132,                0.62854,                0.56463,                0.59968,                0.39104,                 1.2326,                 1.1267,                 1.5113,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                 1.0587,                0.90903,                 1.3026,                  0.627,                0.57565,                0.60536,                 0.4026,                 1.2195,                 1.0942,                 1.5062,             3.1297e-05,             3.1297e-05,             3.1297e-05
